KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Cash from Investing Activity,,-13,-3,-10,-24,-27,-24,-19,-15,-29,16,-68,BLISSGVS,Cash_Flow
Cash from Financing Activity,,-4,5,-11,-14,52,-3,-31,-35,-15,-22,9,BLISSGVS,Cash_Flow
Net Cash Flow,,1,8,3,40,-27,38,-35,10,-6,17,-11,BLISSGVS,Cash_Flow
Sales,974,905,1147,1493,,2167,1933,2268,2552,2681,2791,3165,BLUEDART,Income_Statement
Expenses,849,801,993,1313,,1889,1762,2045,2221,2416,2531,2992,BLUEDART,Income_Statement
Operating Profit,125,104,155,180,,277,171,224,331,264,260,174,BLUEDART,Income_Statement
OPM %,13%,11%,13%,12%,,13%,9%,10%,13%,10%,9%,5%,BLUEDART,Income_Statement
Other Income,11,8,5,21,,29,44,24,31,28,23,18,BLUEDART,Income_Statement
Interest,1,1,0,0,,0,0,11,31,31,26,15,BLUEDART,Income_Statement
Depreciation,17,18,19,22,,34,27,44,40,44,45,48,BLUEDART,Income_Statement
Profit before tax,119,93,140,179,,271,187,194,290,217,212,128,BLUEDART,Income_Statement
Tax %,35%,35%,33%,32%,,30%,34%,34%,34%,36%,33%,32%,BLUEDART,Income_Statement
Net Profit,77,61,94,122,,189,124,127,190,140,142,88,BLUEDART,Income_Statement
EPS in Rs,32.6,25.59,39.77,51.52,,79.51,52.43,53.46,80.07,58.82,59.89,36.92,BLUEDART,Income_Statement
Dividend Payout %,3%,4%,3%,4%,,89%,96%,300%,38%,26%,21%,34%,BLUEDART,Income_Statement
Share Capital,24,24,24,24,,24,24,24,24,24,24,24,BLUEDART,Balance_Sheet
Reserves,368,426,518,634,,626,612,273,447,498,597,641,BLUEDART,Balance_Sheet
Borrowings,0,0,0,0,,0,0,332,332,332,166,146,BLUEDART,Balance_Sheet
Other Liabilities,117,127,151,179,,390,295,345,351,398,439,559,BLUEDART,Balance_Sheet
Total Liabilities,509,576,692,837,,1040,931,974,1154,1252,1226,1370,BLUEDART,Balance_Sheet
Fixed Assets,173,172,183,233,,220,228,215,243,234,219,247,BLUEDART,Balance_Sheet
CWIP,9,17,27,3,,12,8,25,21,33,47,46,BLUEDART,Balance_Sheet
Investments,70,105,96,71,,20,20,20,73,144,144,144,BLUEDART,Balance_Sheet
Other Assets,257,283,387,530,,788,675,714,817,840,816,933,BLUEDART,Balance_Sheet
Total Assets,509,576,692,837,,1040,931,974,1154,1252,1226,1370,BLUEDART,Balance_Sheet
Cash from Operating Activity,55,40,37,105,,182,120,153,271,143,210,157,BLUEDART,Cash_Flow
Cash from Investing Activity,-33,-59,-25,-99,,22,43,32,-61,-58,-5,-46,BLUEDART,Cash_Flow
Cash from Financing Activity,-3,-3,-3,-3,,-6,-294,-126,-89,-117,-235,-71,BLUEDART,Cash_Flow
Net Cash Flow,18,-22,9,3,,199,-131,60,121,-32,-30,40,BLUEDART,Cash_Flow
Sales,,2503,2525,2859,2701,2767,2790,3081,3530,4110,4303,4784,BLUESTARCO,Income_Statement
Expenses,,2240,2238,2610,2711,2668,2640,2971,3390,3910,4073,4500,BLUESTARCO,Income_Statement
Operating Profit,,262,287,249,-10,99,150,110,140,199,230,284,BLUESTARCO,Income_Statement
OPM %,,10%,11%,9%,0%,4%,5%,4%,4%,5%,5%,6%,BLUESTARCO,Income_Statement
Other Income,,19,33,34,24,37,11,116,104,34,34,10,BLUESTARCO,Income_Statement
Interest,,17,8,24,70,50,50,43,36,31,23,45,BLUESTARCO,Income_Statement
Depreciation,,26,35,32,31,33,35,39,55,55,61,69,BLUESTARCO,Income_Statement
Profit before tax,,238,277,227,-88,53,76,143,153,148,181,180,BLUESTARCO,Income_Statement
Tax %,,24%,24%,32%,-1%,2%,0%,-7%,17%,24%,27%,32%,BLUESTARCO,Income_Statement
Net Profit,,180,211,155,-89,52,76,153,127,112,132,122,BLUESTARCO,Income_Statement
EPS in Rs,,20.05,23.51,17.23,-9.91,5.75,8.44,16.96,14.11,11.72,13.77,12.65,BLUESTARCO,Income_Statement
Dividend Payout %,,35%,34%,41%,-10%,52%,47%,29%,46%,64%,73%,79%,BLUESTARCO,Income_Statement
Share Capital,,18,18,18,18,18,18,18,18,19,19,19,BLUESTARCO,Balance_Sheet
Reserves,,349,474,556,456,476,512,607,610,899,929,942,BLUESTARCO,Balance_Sheet
Borrowings,,27,66,418,374,373,447,332,286,149,319,364,BLUESTARCO,Balance_Sheet
Other Liabilities,,881,1069,1267,1203,1233,1275,1236,1619,1553,1931,1914,BLUESTARCO,Balance_Sheet
Total Liabilities,,1275,1626,2259,2051,2100,2251,2193,2533,2620,3199,3240,BLUESTARCO,Balance_Sheet
Fixed Assets,,188,198,193,206,223,215,218,231,319,347,359,BLUESTARCO,Balance_Sheet
CWIP,,25,3,25,32,8,15,22,16,34,25,41,BLUESTARCO,Balance_Sheet
Investments,,4,4,102,121,121,121,232,435,215,220,221,BLUESTARCO,Balance_Sheet
Other Assets,,1059,1422,1939,1692,1748,1899,1721,1850,2052,2606,2618,BLUESTARCO,Balance_Sheet
Total Assets,,1275,1626,2259,2051,2100,2251,2193,2533,2620,3199,3240,BLUESTARCO,Balance_Sheet
Cash from Operating Activity,,190,91,-75,260,40,84,192,271,129,-29,147,BLUESTARCO,Cash_Flow
Cash from Investing Activity,,-84,-11,-143,-68,-18,-24,-20,-73,73,-66,-73,BLUESTARCO,Cash_Flow
Cash from Financing Activity,,-100,-69,244,-188,-61,-8,-199,-194,-215,73,-105,BLUESTARCO,Cash_Flow
Net Cash Flow,,7,11,26,4,-40,52,-27,4,-14,-22,-30,BLUESTARCO,Cash_Flow
Sales,,261,281,353,490,585,611,672,677,707,825,809,CCL,Income_Statement
Expenses,,210,223,289,409,478,484,544,538,538,660,640,CCL,Income_Statement
Operating Profit,,52,58,64,81,107,128,128,140,169,165,169,CCL,Income_Statement
OPM %,,20%,21%,18%,16%,18%,21%,19%,21%,24%,20%,21%,CCL,Income_Statement
Other Income,,2,5,4,1,1,1,1,1,1,4,30,CCL,Income_Statement
Interest,,16,14,12,12,12,7,6,4,7,6,8,CCL,Income_Statement
Depreciation,,14,14,15,16,16,13,9,10,11,11,12,CCL,Income_Statement
Profit before tax,,24,35,40,54,81,108,114,126,153,151,179,CCL,Income_Statement
Tax %,,20%,23%,32%,33%,32%,32%,35%,35%,35%,35%,30%,CCL,Income_Statement
Net Profit,,19,27,28,37,55,73,75,82,99,98,125,CCL,Income_Statement
EPS in Rs,,1.43,2.03,2.07,2.75,4.1,5.51,5.61,6.16,7.44,7.35,9.43,CCL,Income_Statement
Dividend Payout %,,7%,7%,10%,18%,12%,22%,27%,41%,34%,34%,37%,CCL,Income_Statement
Share Capital,,13,13,13,13,13,27,27,27,27,27,27,CCL,Balance_Sheet
Reserves,,162,187,211,240,287,328,378,420,511,568,622,CCL,Balance_Sheet
Borrowings,,191,156,156,149,152,118,93,114,98,308,401,CCL,Balance_Sheet
Other Liabilities,,36,46,40,53,63,73,98,74,69,79,162,CCL,Balance_Sheet
Total Liabilities,,403,403,420,455,515,546,596,635,705,982,1213,CCL,Balance_Sheet
Fixed Assets,,230,211,228,214,181,175,169,209,215,212,220,CCL,Balance_Sheet
CWIP,,30,31,0,0,0,0,7,0,0,213,424,CCL,Balance_Sheet
Investments,,18,18,38,38,80,139,151,151,154,158,159,CCL,Balance_Sheet
Other Assets,,125,143,155,203,254,232,270,275,336,399,410,CCL,Balance_Sheet
Total Assets,,403,403,420,455,515,546,596,635,705,982,1213,CCL,Balance_Sheet
Cash from Operating Activity,,53,33,27,15,56,85,64,107,55,72,114,CCL,Cash_Flow
Cash from Investing Activity,,-23,6,-17,-2,-50,-40,-23,-77,-22,-240,-136,CCL,Cash_Flow
Cash from Financing Activity,,-30,-43,-8,-14,-8,-43,-44,-30,-32,170,30,CCL,Cash_Flow
Net Cash Flow,,0,-5,2,0,-2,3,-2,1,1,2,8,CCL,Cash_Flow
Sales,,59,58,83,108,123,166,240,231,342,427,537,CAPLIPOINT,Income_Statement
Expenses,,57,56,74,97,101,132,183,169,248,284,348,CAPLIPOINT,Income_Statement
Operating Profit,,3,2,9,11,22,34,57,63,94,142,189,CAPLIPOINT,Income_Statement
OPM %,,4%,4%,11%,10%,18%,20%,24%,27%,27%,33%,35%,CAPLIPOINT,Income_Statement
Other Income,,4,4,3,2,2,3,3,3,13,23,35,CAPLIPOINT,Income_Statement
Interest,,1,1,1,1,1,1,1,0,0,1,0,CAPLIPOINT,Income_Statement
Depreciation,,2,2,2,1,1,3,8,7,13,19,21,CAPLIPOINT,Income_Statement
Profit before tax,,3,4,8,11,22,33,51,58,93,146,203,CAPLIPOINT,Income_Statement
Tax %,,31%,9%,22%,24%,34%,23%,19%,22%,24%,30%,27%,CAPLIPOINT,Income_Statement
Net Profit,,2,3,7,8,14,26,41,45,70,102,148,CAPLIPOINT,Income_Statement
EPS in Rs,,0.29,0.44,0.87,1.08,1.89,3.39,5.42,6,9.3,13.53,19.59,CAPLIPOINT,Income_Statement
Dividend Payout %,,0%,45%,35%,37%,26%,24%,18%,20%,16%,15%,11%,CAPLIPOINT,Income_Statement
Share Capital,,15,15,15,15,15,15,15,15,15,15,15,CAPLIPOINT,Balance_Sheet
Reserves,,9,10,14,19,29,47,79,113,185,280,417,CAPLIPOINT,Balance_Sheet
Borrowings,,9,10,10,7,5,3,2,2,1,1,1,CAPLIPOINT,Balance_Sheet
Other Liabilities,,29,25,32,63,79,109,128,132,116,115,107,CAPLIPOINT,Balance_Sheet
Total Liabilities,,61,61,71,104,128,174,223,263,317,411,539,CAPLIPOINT,Balance_Sheet
Fixed Assets,,19,21,23,26,31,101,111,143,152,169,138,CAPLIPOINT,Balance_Sheet
CWIP,,0,0,0,13,51,25,31,0,3,15,9,CAPLIPOINT,Balance_Sheet
Investments,,0,1,1,1,1,1,1,1,19,48,168,CAPLIPOINT,Balance_Sheet
Other Assets,,42,39,47,64,44,48,80,118,143,178,225,CAPLIPOINT,Balance_Sheet
Total Assets,,61,61,71,104,128,174,223,263,317,411,539,CAPLIPOINT,Balance_Sheet
Cash from Operating Activity,,12,0,13,24,33,60,50,44,55,23,107,CAPLIPOINT,Cash_Flow
Cash from Investing Activity,,-4,-5,-5,-16,-45,-44,-24,-6,-37,-60,-76,CAPLIPOINT,Cash_Flow
Cash from Financing Activity,,-2,2,0,-1,-2,-6,-9,-14,-7,-12,-15,CAPLIPOINT,Cash_Flow
Net Cash Flow,,7,-2,7,6,-14,10,17,24,12,-49,16,CAPLIPOINT,Cash_Flow
Sales,,648,726,920,1119,1096,1142,1161,1292,1406,1583,1782,CARBORUNIV,Income_Statement
Expenses,,556,606,739,899,943,997,1012,1092,1193,1333,1485,CARBORUNIV,Income_Statement
Operating Profit,,92,120,181,220,153,145,149,199,212,250,297,CARBORUNIV,Income_Statement
OPM %,,14%,16%,20%,20%,14%,13%,13%,15%,15%,16%,17%,CARBORUNIV,Income_Statement
Other Income,,51,24,43,30,18,19,118,39,34,31,27,CARBORUNIV,Income_Statement
Interest,,27,24,20,17,16,13,9,9,9,1,1,CARBORUNIV,Income_Statement
Depreciation,,30,35,40,44,47,49,59,62,67,74,75,CARBORUNIV,Income_Statement
Profit before tax,,86,84,164,189,108,102,199,167,171,205,248,CARBORUNIV,Income_Statement
Tax %,,31%,31%,24%,23%,31%,29%,26%,30%,29%,30%,33%,CARBORUNIV,Income_Statement
Net Profit,,60,58,124,147,75,73,148,116,122,143,166,CARBORUNIV,Income_Statement
EPS in Rs,,3.2,3.11,6.65,7.83,3.98,3.88,7.88,6.18,6.46,7.59,8.78,CARBORUNIV,Income_Statement
Dividend Payout %,,31%,32%,19%,26%,31%,32%,16%,24%,27%,30%,31%,CARBORUNIV,Income_Statement
Share Capital,,19,19,19,19,19,19,19,19,19,19,19,CARBORUNIV,Balance_Sheet
Reserves,,372,410,510,618,666,715,841,940,1036,1151,1258,CARBORUNIV,Balance_Sheet
Borrowings,,348,284,165,97,132,119,84,109,3,2,1,CARBORUNIV,Balance_Sheet
Other Liabilities,,147,166,250,267,202,195,202,203,240,264,248,CARBORUNIV,Balance_Sheet
Total Liabilities,,886,879,943,1000,1019,1047,1146,1270,1297,1436,1526,CARBORUNIV,Balance_Sheet
Fixed Assets,,350,346,373,385,414,415,389,375,408,430,395,CARBORUNIV,Balance_Sheet
CWIP,,21,33,14,27,14,14,18,68,51,17,22,CARBORUNIV,Balance_Sheet
Investments,,172,172,164,135,125,131,238,256,254,311,345,CARBORUNIV,Balance_Sheet
Other Assets,,343,328,392,453,466,488,501,571,584,677,763,CARBORUNIV,Balance_Sheet
Total Assets,,886,879,943,1000,1019,1047,1146,1270,1297,1436,1526,CARBORUNIV,Balance_Sheet
Cash from Operating Activity,,64,112,116,136,118,98,106,112,177,132,122,CARBORUNIV,Cash_Flow
Cash from Investing Activity,,-46,-33,-4,-9,-53,-40,-53,-88,-46,-29,-28,CARBORUNIV,Cash_Flow
Cash from Financing Activity,,-1,-107,-110,-115,-76,-56,-57,-21,-133,-36,-59,CARBORUNIV,Cash_Flow
Net Cash Flow,,17,-28,1,12,-11,3,-5,3,-2,67,35,CARBORUNIV,Cash_Flow
Sales,,2355,2776,3459,4424,4827,5276,5504,5451,5702,6213,6831,CEATLTD,Income_Statement
Expenses,,2332,2479,3311,4177,4404,4643,4855,4656,5032,5582,6187,CEATLTD,Income_Statement
Operating Profit,,23,297,147,247,423,633,649,794,670,631,645,CEATLTD,Income_Statement
OPM %,,1%,11%,4%,6%,9%,12%,12%,15%,12%,10%,9%,CEATLTD,Income_Statement
Other Income,,49,42,21,25,-6,11,22,40,25,32,7,CEATLTD,Income_Statement
Interest,,84,72,100,192,193,184,141,99,87,92,68,CEATLTD,Income_Statement
Depreciation,,26,27,34,70,78,83,88,107,142,162,174,CEATLTD,Income_Statement
Profit before tax,,-37,239,33,10,146,377,443,628,467,410,410,CEATLTD,Income_Statement
Tax %,,57%,33%,33%,22%,27%,33%,32%,29%,22%,32%,29%,CEATLTD,Income_Statement
Net Profit,,-16,161,22,8,106,254,299,445,363,279,289,CEATLTD,Income_Statement
EPS in Rs,,-4.7,47.03,6.51,2.2,31.06,70.58,73.91,110.06,89.67,68.9,71.42,CEATLTD,Income_Statement
Dividend Payout %,,0%,8%,31%,45%,13%,14%,14%,10%,13%,17%,17%,CEATLTD,Income_Statement
Share Capital,,34,34,34,34,34,36,40,40,40,40,40,CEATLTD,Balance_Sheet
Reserves,,454,594,609,618,709,931,1558,1909,2266,2506,2711,CEATLTD,Balance_Sheet
Borrowings,,645,654,986,1280,1012,1149,759,651,775,641,1261,CEATLTD,Balance_Sheet
Other Liabilities,,523,810,1170,1090,1308,1256,1278,1292,1462,1581,2050,CEATLTD,Balance_Sheet
Total Liabilities,,1657,2093,2799,3023,3062,3372,3636,3893,4543,4769,6062,CEATLTD,Balance_Sheet
Fixed Assets,,775,769,1361,1524,1503,1474,1481,1975,2409,2465,2846,CEATLTD,Balance_Sheet
CWIP,,20,234,107,13,10,30,164,213,49,162,749,CEATLTD,Balance_Sheet
Investments,,43,59,87,74,45,124,437,224,259,320,313,CEATLTD,Balance_Sheet
Other Assets,,819,1032,1244,1411,1505,1743,1554,1480,1827,1823,2153,CEATLTD,Balance_Sheet
Total Assets,,1657,2093,2799,3023,3062,3372,3636,3893,4543,4769,6062,CEATLTD,Balance_Sheet
Cash from Operating Activity,,131,233,244,7,557,155,705,718,344,744,533,CEATLTD,Cash_Flow
Cash from Investing Activity,,-53,-239,-484,-128,-64,-98,-259,-412,-419,-420,-1052,CEATLTD,Cash_Flow
Cash from Financing Activity,,81,-56,147,106,-454,-32,-177,-340,78,-269,504,CEATLTD,Cash_Flow
Net Cash Flow,,160,-61,-92,-16,39,26,269,-33,3,55,-15,CEATLTD,Cash_Flow
Sales,,624,672,877,1118,1131,1284,1565,1636,1782,1967,2264,CENTURYPLY,Income_Statement
Expenses,,574,589,779,1001,1018,1135,1315,1352,1490,1661,1963,CENTURYPLY,Income_Statement
Operating Profit,,50,83,98,117,113,149,250,284,292,306,300,CENTURYPLY,Income_Statement
OPM %,,8%,12%,11%,10%,10%,12%,16%,17%,16%,16%,13%,CENTURYPLY,Income_Statement
Other Income,,-8,46,16,12,7,9,18,6,23,7,6,CENTURYPLY,Income_Statement
Interest,,18,13,14,40,39,55,43,46,29,33,45,CENTURYPLY,Income_Statement
Depreciation,,17,19,24,27,27,33,45,44,52,81,50,CENTURYPLY,Income_Statement
Profit before tax,,8,96,76,63,54,69,180,200,234,199,212,CENTURYPLY,Income_Statement
Tax %,,-36%,16%,2%,5%,3%,3%,16%,15%,21%,21%,25%,CENTURYPLY,Income_Statement
Net Profit,,11,81,75,60,53,67,151,170,186,157,159,CENTURYPLY,Income_Statement
EPS in Rs,,0.5,3.64,3.35,2.7,2.37,3.01,6.79,7.64,8.35,7.05,7.14,CENTURYPLY,Income_Statement
Dividend Payout %,,50%,27%,30%,37%,11%,33%,30%,13%,12%,14%,14%,CENTURYPLY,Income_Statement
Share Capital,,23,23,23,23,22,22,22,22,22,22,22,CENTURYPLY,Balance_Sheet
Reserves,,146,206,256,290,227,269,365,503,686,816,947,CENTURYPLY,Balance_Sheet
Borrowings,,198,196,211,354,468,491,502,460,602,543,519,CENTURYPLY,Balance_Sheet
Other Liabilities,,63,109,140,116,121,135,161,157,244,278,278,CENTURYPLY,Balance_Sheet
Total Liabilities,,429,533,629,782,838,917,1050,1142,1555,1659,1767,CENTURYPLY,Balance_Sheet
Fixed Assets,,93,111,166,174,186,212,209,197,249,542,729,CENTURYPLY,Balance_Sheet
CWIP,,19,47,10,36,36,19,23,93,284,120,19,CENTURYPLY,Balance_Sheet
Investments,,42,50,56,73,16,38,45,50,96,96,98,CENTURYPLY,Balance_Sheet
Other Assets,,274,325,398,498,601,648,773,802,925,901,921,CENTURYPLY,Balance_Sheet
Total Assets,,429,533,629,782,838,917,1050,1142,1555,1659,1767,CENTURYPLY,Balance_Sheet
Cash from Operating Activity,,0,85,54,24,48,31,138,289,223,283,226,CENTURYPLY,Cash_Flow
Cash from Investing Activity,,-31,-35,-53,-48,-96,-53,-62,-129,-321,-197,-128,CENTURYPLY,Cash_Flow
Cash from Financing Activity,,35,-48,-5,54,87,-39,-76,-159,133,-123,-94,CENTURYPLY,Cash_Flow
Net Cash Flow,,4,2,-4,30,39,-62,-1,2,35,-37,4,CENTURYPLY,Cash_Flow
Sales,,3816,4453,4760,4873,5949,6675,7559,7967,7645,3898,3944,CENTURYTEX,Income_Statement
Expenses,,3254,3604,4101,4447,5371,5948,6907,7291,6721,3092,2980,CENTURYTEX,Income_Statement
Operating Profit,,561,849,659,426,579,727,652,676,924,805,964,CENTURYTEX,Income_Statement
OPM %,,15%,19%,14%,9%,10%,11%,9%,8%,12%,21%,24%,CENTURYTEX,Income_Statement
Other Income,,93,9,42,27,26,19,48,52,62,138,5673,CENTURYTEX,Income_Statement
Interest,,103,101,118,172,320,363,485,588,551,212,102,CENTURYTEX,Income_Statement
Depreciation,,232,234,240,258,356,355,249,283,313,199,193,CENTURYTEX,Income_Statement
Profit before tax,,319,523,343,23,-71,28,-34,-143,122,532,6342,CENTURYTEX,Income_Statement
Tax %,,26%,35%,31%,2%,52%,90%,146%,33%,14%,30%,4%,CENTURYTEX,Income_Statement
Net Profit,,237,339,237,22,-34,3,15,-95,105,372,6076,CENTURYTEX,Income_Statement
EPS in Rs,,254.34,365.02,255.37,23.8,-37.09,2.92,1.53,-8.5,9.4,33.27,543.92,CENTURYTEX,Income_Statement
Dividend Payout %,,18%,15%,22%,231%,-148%,1881%,360%,-65%,59%,20%,1%,CENTURYTEX,Income_Statement
Share Capital,,93,93,93,93,93,93,102,112,112,112,112,CENTURYTEX,Balance_Sheet
Reserves,,1402,1682,1860,1806,1712,1654,1872,2252,2370,2636,3195,CENTURYTEX,Balance_Sheet
Borrowings,,1758,2367,3112,4034,4850,5678,6139,5793,5700,4369,1020,CENTURYTEX,Balance_Sheet
Other Liabilities,,1299,1616,1323,1359,1607,1866,1964,2036,2154,3214,1853,CENTURYTEX,Balance_Sheet
Total Liabilities,,4553,5758,6388,7292,8262,9292,10076,10193,10336,10331,6179,CENTURYTEX,Balance_Sheet
Fixed Assets,,2580,2484,2400,4109,4232,4377,5865,7364,7309,7256,4430,CENTURYTEX,Balance_Sheet
CWIP,,228,1287,1998,1112,1711,2229,784,70,34,35,274,CENTURYTEX,Balance_Sheet
Investments,,47,58,68,71,74,97,495,177,258,223,265,CENTURYTEX,Balance_Sheet
Other Assets,,1698,1928,1922,2000,2244,2589,2932,2582,2734,2817,1209,CENTURYTEX,Balance_Sheet
Total Assets,,4553,5758,6388,7292,8262,9292,10076,10193,10336,10331,6179,CENTURYTEX,Balance_Sheet
Cash from Operating Activity,,674,613,485,349,494,591,380,1020,940,2209,624,CENTURYTEX,Cash_Flow
Cash from Investing Activity,,-829,-1096,-963,-1030,-873,-758,-509,-357,-247,-195,-208,CENTURYTEX,Cash_Flow
Cash from Financing Activity,,175,469,467,689,384,185,147,-1242,-175,-1795,-677,CENTURYTEX,Cash_Flow
Net Cash Flow,,19,-14,-12,8,5,18,18,-579,518,219,-261,CENTURYTEX,Cash_Flow
Sales,,,,,,,,,582,737,796,987,CHALET,Income_Statement
Expenses,,,,,,,,,441,500,551,667,CHALET,Income_Statement
Operating Profit,,,,,,,,,141,237,244,320,CHALET,Income_Statement
OPM %,,,,,,,,,24%,32%,31%,32%,CHALET,Income_Statement
Other Income,,,,,,,,,7,187,-76,40,CHALET,Income_Statement
Interest,,,,,,,,,216,215,209,265,CHALET,Income_Statement
Depreciation,,,,,,,,,99,127,112,115,CHALET,Income_Statement
Profit before tax,,,,,,,,,-167,82,-153,-21,CHALET,Income_Statement
Tax %,,,,,,,,,32%,-59%,34%,51%,CHALET,Income_Statement
Net Profit,,,,,,,,,-113,130,-101,-10,CHALET,Income_Statement
EPS in Rs,,,,,,,,,-7.43,8.55,-5.9,-0.5,CHALET,Income_Statement
Dividend Payout %,,,,,,,,,0%,0%,0%,0%,CHALET,Income_Statement
Share Capital,,,,,,,,,152,152,187,257,CHALET,Balance_Sheet
Reserves,,,,,,,,,397,350,351,1242,CHALET,Balance_Sheet
Borrowings,,,,,,,,,2331,2612,2684,1492,CHALET,Balance_Sheet
Other Liabilities,,,,,,,,,487,449,485,656,CHALET,Balance_Sheet
Total Liabilities,,,,,,,,,3367,3563,3691,3595,CHALET,Balance_Sheet
Fixed Assets,,,,,,,,,2401,2848,2819,2753,CHALET,Balance_Sheet
CWIP,,,,,,,,,32,22,22,28,CHALET,Balance_Sheet
Investments,,,,,,,,,47,0,4,30,CHALET,Balance_Sheet
Other Assets,,,,,,,,,887,692,846,783,CHALET,Balance_Sheet
Total Assets,,,,,,,,,3367,3563,3691,3595,CHALET,Balance_Sheet
Cash from Operating Activity,,,,,,,,,111,203,250,360,CHALET,Cash_Flow
Cash from Investing Activity,,,,,,,,,-160,334,-120,131,CHALET,Cash_Flow
Cash from Financing Activity,,,,,,,,,53,-470,-155,-502,CHALET,Cash_Flow
Net Cash Flow,,,,,,,,,4,67,-25,-10,CHALET,Cash_Flow
Sales,,4593,3572,4653,6461,7337,7977,8877,8770,7411,7461,10095,CHAMBLFERT,Income_Statement
Expenses,,4045,2936,3927,5665,6623,7362,8185,8127,6673,6679,8905,CHAMBLFERT,Income_Statement
Operating Profit,,548,636,726,795,713,615,692,643,738,782,1189,CHAMBLFERT,Income_Statement
OPM %,,12%,18%,16%,12%,10%,8%,8%,7%,10%,10%,12%,CHAMBLFERT,Income_Statement
Other Income,,129,71,93,147,97,161,40,-154,178,156,-31,CHAMBLFERT,Income_Statement
Interest,,132,91,110,121,132,200,158,261,247,151,247,CHAMBLFERT,Income_Statement
Depreciation,,227,258,268,262,222,230,173,87,62,63,119,CHAMBLFERT,Income_Statement
Profit before tax,,318,359,441,560,457,346,400,142,607,724,793,CHAMBLFERT,Income_Statement
Tax %,,28%,31%,26%,56%,33%,12%,41%,108%,30%,34%,31%,CHAMBLFERT,Income_Statement
Net Profit,,231,249,325,247,306,303,237,-11,425,480,545,CHAMBLFERT,Income_Statement
EPS in Rs,,5.54,5.98,7.81,5.94,7.34,7.28,5.69,-0.27,10.21,11.54,13.1,CHAMBLFERT,Income_Statement
Dividend Payout %,,32%,32%,24%,32%,26%,26%,33%,-710%,19%,16%,15%,CHAMBLFERT,Income_Statement
Share Capital,,416,416,416,416,416,414,414,416,416,416,416,CHAMBLFERT,Balance_Sheet
Reserves,,818,974,1207,1362,1576,1772,1902,1790,2136,2496,2836,CHAMBLFERT,Balance_Sheet
Borrowings,,2481,2616,2484,3557,5115,4547,3950,4807,4153,5609,8545,CHAMBLFERT,Balance_Sheet
Other Liabilities,,1555,647,704,985,1334,1043,1008,940,1342,914,2049,CHAMBLFERT,Balance_Sheet
Total Liabilities,,5271,4653,4811,6320,8441,7776,7274,7952,8047,9436,13846,CHAMBLFERT,Balance_Sheet
Fixed Assets,,2871,2932,2678,2636,2599,2632,2551,1716,1099,1169,6846,CHAMBLFERT,Balance_Sheet
CWIP,,221,44,59,54,44,43,92,626,1707,4129,109,CHAMBLFERT,Balance_Sheet
Investments,,611,417,401,492,544,560,487,316,291,291,327,CHAMBLFERT,Balance_Sheet
Other Assets,,1568,1260,1672,3138,5253,4541,4144,5294,4951,3847,6564,CHAMBLFERT,Balance_Sheet
Total Assets,,5271,4653,4811,6320,8441,7776,7274,7952,8047,9436,13846,CHAMBLFERT,Balance_Sheet
Cash from Operating Activity,,977,-148,579,-583,-1240,843,986,-27,1249,1163,-1155,CHAMBLFERT,Cash_Flow
Cash from Investing Activity,,-1366,21,-85,8,-112,8,-56,-311,-717,-1763,-1111,CHAMBLFERT,Cash_Flow
Cash from Financing Activity,,349,130,-288,613,1243,-991,-934,348,-457,568,2260,CHAMBLFERT,Cash_Flow
Net Cash Flow,,-40,2,207,37,-109,-141,-3,10,75,-33,-5,CHAMBLFERT,Cash_Flow
Sales,,32102,24966,32981,40627,42883,49131,41637,25716,27522,32369,41113,CHENNPETRO,Income_Statement
Expenses,,32274,24110,31731,40235,43742,48531,41779,24367,25645,30288,40595,CHENNPETRO,Income_Statement
Operating Profit,,-171,857,1250,393,-859,600,-142,1349,1877,2082,518,CHENNPETRO,Income_Statement
OPM %,,-1%,3%,4%,1%,-2%,1%,0%,5%,7%,6%,1%,CHENNPETRO,Income_Statement
Other Income,,60,232,83,64,14,27,30,36,40,39,59,CHENNPETRO,Income_Statement
Interest,,224,138,255,250,478,569,405,353,274,322,421,CHENNPETRO,Income_Statement
Depreciation,,257,267,314,365,375,390,226,274,279,340,453,CHENNPETRO,Income_Statement
Profit before tax,,-593,684,764,-158,-1698,-331,-742,759,1365,1458,-298,CHENNPETRO,Income_Statement
Tax %,,33%,12%,33%,139%,-4%,8%,95%,2%,25%,37%,28%,CHENNPETRO,Income_Statement
Net Profit,,-397,603,512,62,-1767,-304,-39,742,1030,913,-213,CHENNPETRO,Income_Statement
EPS in Rs,,-26.68,40.51,34.35,4.15,-118.65,-20.4,-2.62,49.82,69.15,61.31,-14.33,CHENNPETRO,Income_Statement
Dividend Payout %,,0%,30%,35%,48%,0%,0%,0%,8%,30%,30%,0%,CHENNPETRO,Income_Statement
Share Capital,,149,149,149,149,149,149,149,149,149,649,696,CHENNPETRO,Balance_Sheet
Reserves,,2918,3313,3617,3644,1877,1573,1506,2212,3165,3707,3161,CHENNPETRO,Balance_Sheet
Borrowings,,1548,4078,4223,3672,5905,5600,5399,4567,5501,3991,6121,CHENNPETRO,Balance_Sheet
Other Liabilities,,2667,2393,4269,7502,6189,6644,3929,3430,2681,6351,4525,CHENNPETRO,Balance_Sheet
